address,borough_name,borough_abbrev,bin_number,block,lot,inspection_date,access_1,ecb_violation_number,dob_violation_number
107-09 ROCKAWAY BOULEVARD,Queens,QN,4247539,11474,6,3/19/16 0:00,MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED,35180105P,"031916CERFC03,02,01"
107-09 ROCKAWAY BOULEVARD,Queens,QN,4247539,11474,6,9/28/13 0:00,MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED,35065031H,092813CNEAC02
107-09 ROCKAWAY BOULEVARD,Queens,QN,4247539,11474,6,9/12/15 0:00,MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED,35136904N,091215CERAJ02
107-09 ROCKAWAY BOULEVARD,Queens,QN,4247539,11474,6,3/19/16 0:00,MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED,35180107Z,"031916CERFC03,02,01"
107-09 ROCKAWAY BOULEVARD,Queens,QN,4247539,11474,6,3/19/16 0:00,MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED,35180106R,"031916CERFC03,02,01"
107-10 ROCKAWAY BOULEVARD,Queens,QN,4247860,11482,33,7/8/12 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
107-11 NORTHERN BOULEVARD,Queens,QN,4042212,1702,62,10/6/13 0:00,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35065313X,
107-14 101 AVENUE,Queens,QN,4198624,9425,106,9/13/13 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
107-15 112 STREET,Queens,QN,4203433,9550,76,3/21/15 0:00,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35127185L,032115CNER03
107-23 LIBERTY AVENUE,Queens,QN,4201673,9512,33,3/8/16 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
108 NORTH 6 STREET,Brooklyn,BK,3062167,2334,20,4/30/16 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
108 NORTH 6 STREET,Brooklyn,BK,3062167,2334,20,9/10/16 0:00,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35212650Y,091016CERLP01
108-02 NORTHERN BOULEVARD,Queens,QN,4042782,1723,1,7/6/12 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
108-14 ROOSEVELT AVENUE,Queens,QN,4049189,1996,9,2/15/14 0:00,ECB VIOLATION SERVED,35090750Z,
1088 FULTON STREET,Brooklyn,BK,3057707,2016,22,6/28/15 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1088 FULTON STREET,Brooklyn,BK,3057707,2016,22,11/15/13 0:00,MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED,35064942Y,
1089 CYPRESS AVENUE,Queens,QN,4086050,3567,3,4/6/14 0:00,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35081419Y,040614CNETZ03
109 EAST 9 STREET,Manhattan,MN,1008963,555,40,12/5/12 0:00,MARCH: NO PA PERMIT/ECB NOV ISSUED,34940585X,121412PANETZ01
109 EAST 9 STREET,Manhattan,MN,1008963,555,40,12/5/12 0:00,MARCH: NO PA PERMIT/ECB NOV ISSUED,35000256L,121412PANETZ01
109 GRAHAM AVENUE,Brooklyn,BK,3071343,3079,25,3/13/16 0:00,MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED,35168794H,031316CNEJM01
109 LUDLOW STREET,Manhattan,MN,1005319,410,25,8/11/12 0:00,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,34985178H,081112CERLP02
109-06 CORONA AVENUE,Queens,QN,4048132,1955,9,10/6/12 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
109-07 LIBERTY AVENUE,Queens,QN,4201755,9514,28,9/11/15 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
109-07 LIBERTY AVENUE,Queens,QN,4201755,9514,28,9/12/14 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
109-08 LIBERTY AVENUE,Queens,QN,4202337,9532,4,3/8/16 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1098 LAFAYETTE AVENUE,Bronx,BX,2005839,2731,40,3/17/13 0:00,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35006512Z,
1098 LAFAYETTE AVENUE,Bronx,BX,2005839,2731,40,10/12/13 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
11 WEST 32 STREET,Manhattan,MN,1015850,834,33,1/29/16 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
111 ORIENTAL BOULEVARD,Brooklyn,BK,3245979,8732,6,12/6/13 0:00,MARCH: NO PA PERMIT/ECB NOV ISSUED,35080952H,
111 ORIENTAL BOULEVARD,Brooklyn,BK,3245979,8732,6,12/6/13 0:00,MARCH: NO PA PERMIT/ECB NOV ISSUED,35030391L,
111-10 ROOSEVELT AVENUE,Queens,QN,4435542,2013,5,11/14/14 0:00,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35111511L,111515CNEJM01
111-10 ROOSEVELT AVENUE,Queens,QN,4435542,2013,5,6/13/14 0:00,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35095982K,
111-10 ROOSEVELT AVENUE,Queens,QN,4435542,2013,5,2/15/14 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
111-16 ROOSEVELT AVENUE,Queens,QN,4563780,2013,108,4/17/15 0:00,MARCH: NO PA PERMIT/ECB NOV ISSUED,35127457X,041715CERNEFC02
111-18 ROOSEVELT AVENUE,Queens,QN,4049890,2013,9,2/16/13 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
111-46 LEFFERTS BOULEVARD,Queens,QN,4250423,11623,29,4/25/14 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
111-46 LEFFERTS BOULEVARD,Queens,QN,4250423,11623,29,3/7/15 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1114 AVENUE U,Brooklyn,BK,3199355,7343,5,9/10/16 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1116 AVENUE U,Brooklyn,BK,3199356,7343,6,12/4/15 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1116 AVENUE U,Brooklyn,BK,3199356,7343,6,7/20/12 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1116 AVENUE U,Brooklyn,BK,3199356,7343,6,6/6/14 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1118 CORTELYOU ROAD,Brooklyn,BK,3118611,5154,9,8/5/16 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1118 CORTELYOU ROAD,Brooklyn,BK,3118611,5154,9,5/17/13 0:00,MARCH: EXIT PASSAGE OBSTRUCTED/ECB NOV & PARTIAL VACATE ISSUED P,35010713R,
1119 FLATBUSH AVENUE,Brooklyn,BK,3118897,5165,64,3/16/16 0:00,VACATE,,
1119 FLATBUSH AVENUE,Brooklyn,BK,3118897,5165,64,3/23/16 0:00,VACATE,,
1119 FLATBUSH AVENUE,Brooklyn,BK,3118897,5165,64,11/23/13 0:00,VACATE,,
1119 FLATBUSH AVENUE,Brooklyn,BK,3118897,5165,64,11/19/15 0:00,VACATE,,
112 AVENUE A,Manhattan,MN,1005082,402,7501,12/15/12 0:00,MARCH: NO PA PERMIT/ECB NOV ISSUED,35000257N,121512PANETZ01
112 RIVINGTON STREET,Manhattan,MN,1005380,411,7501,2/15/13 0:00,MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED,35006424Z,
112 RIVINGTON STREET,Manhattan,MN,1005380,411,7501,8/14/12 0:00,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,34985179J,081112CERLP03
112 RIVINGTON STREET,Manhattan,MN,1005380,411,7501,3/13/15 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
112 RIVINGTON STREET,Manhattan,MN,1005380,411,7501,5/21/16 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
112-06 LIBERTY AVENUE,Queens,QN,4202528,9535,3,4/25/14 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
112-07 JAMAICA AVENUE,Queens,QN,4192679,9226,31,10/15/16 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
112-08 ROCKAWAY BEACH BOULEVARD,Queens,QN,4303744,16166,43,11/13/15 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
112-08 ROCKAWAY BEACH BOULEVARD,Queens,QN,4303744,16166,43,2/20/15 0:00,MARCH: EXIT PASSAGE OBSTRUCTED/ECB NOV ISSUED,35117455N,022015CNERWS02
112-16 ROCKAWAY BEACH BOULEVARD,Queens,QN,4303743,16166,40,5/9/14 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
112-32 ROCKAWAY BEACH BOULEVARD,Queens,QN,4457875,16166,35,2/20/15 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
112-51 ROOSEVELT AVENUE,Queens,QN,4044995,1786,28,4/30/17 0:00,MARCH: EXIT PASSAGE OBSTRUCTED/ECB NOV ISSUED,35245117R,043017CNESC01
1122 BUSHWICK AVENUE,Brooklyn,BK,3076728,3357,42,5/13/16 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
113 EAST 157 STREET,Bronx,BX,2002978,2483,23,11/5/16 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
113 EAST 157 STREET,Bronx,BX,2002978,2483,23,2/7/16 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
113 EAST 157 STREET,Bronx,BX,2002978,2483,23,1/4/13 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
113 EAST 157 STREET,Bronx,BX,2002978,2483,23,3/15/14 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
113 EAST 157 STREET,Bronx,BX,2002978,2483,23,7/18/14 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
113 JANE STREET,Manhattan,MN,1012125,642,1,12/9/16 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
113-12 SPRINGFIELD BOULEVARD,Queens,QN,4240132,11136,23,5/12/13 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1134 1 AVENUE,Manhattan,MN,1045314,1457,3,4/7/17 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
114 KENMARE STREET,Manhattan,MN,1066733,482,7501,2/2/13 0:00,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35000159J,020113CERFC02
114 KENMARE STREET,Manhattan,MN,1066733,482,7501,2/2/13 0:00,MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED,35000158H,020113CERFC01
114 WEST 124 STREET,Manhattan,MN,1057794,1908,40,1/6/13 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
114-53 FARMERS BOULEVARD,Queens,QN,4236286,11009,10,3/23/13 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
114-53 FARMERS BOULEVARD,Queens,QN,4236286,11009,10,10/27/12 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1146 BUSHWICK AVENUE,Brooklyn,BK,3076944,3366,43,5/19/17 0:00,MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED,35245487Y,051917CNEAC02
115 AVENUE C,Manhattan,MN,1004717,390,34,9/4/15 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
115 EAST 157 STREET,Bronx,BX,2002978,2483,23,3/16/14 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
115 ESSEX STREET,Manhattan,MN,1005334,410,55,2/15/13 0:00,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,34985593P,
115 ESSEX STREET,Manhattan,MN,1005334,410,55,8/14/12 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
115-05 FARMERS BOULEVARD,Queens,QN,4237309,11032,8,2/28/15 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
115-05 FARMERS BOULEVARD,Queens,QN,4237309,11032,8,1/31/14 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
